Reference, Quantity, Value, Footprint, Datasheet, Arrow Part Number, Arrow Price/Stock, Description, Manufacturer_Name, Manufacturer_Part_Number, Mouser Part Number, Mouser Price/Stock, Height
AudioL1 AudioR1 ,2,"Conn_Coaxial","LibraryLoader:KLPX0848A2RG"," ~"
C1 C2 C3 C5 C7 ,5,"0.1u","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
C11 C12 ,2,"3.3n","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
C4 ,1,"0.01u","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
C6 C8 ,2,"1u","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
C9 C10 ,2,"3.3u","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
IC1 ,1,"ADV7125","GithubDownloaded:QFP50P900X900X160-48N","","ADV7125KSTZ50","https://www.arrow.com/en/products/adv7125kstz50/analog-devices","ADV7125KSTZ50, Video DAC Triple, 8 bit- 50Msps +/-5%FSR Parallel, 48-Pin LQFP","Analog Devices","ADV7125KSTZ50","584-ADV7125KSTZ50","https://www.mouser.co.uk/ProductDetail/Analog-Devices/ADV7125KSTZ50?qs=WIvQP4zGanjK%2FbawCg5VAQ%3D%3D",""
IC3 ,1,"CS4334","SOIC127P600X175-8N","https://componentsearchengine.com/Datasheets/1/CS4334-KSZ.pdf","","","CS4334-KSZ, Audio DAC Dual 24 bit-, 96ksps +/-5%FSR Serial, 8-Pin SOIC","Cirrus Logic","CS4334-KSZ","777-CS4334-KSZ","https://www.mouser.com/Search/Refine.aspx?Keyword=777-CS4334-KSZ","1.75"
Joy1 Joy2 ,2,"DB9_Male_MountingHoles","Connector_Dsub:DSUB-9_Female_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm"," ~"
Joy2.Aux1 ,1,"Conn_02x05_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","~"
R1 ,1,"1k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
R9 R10 ,2,"267k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
R13 R14 ,2,"560R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
R2 R3 R4 ,3,"75R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
R5 R11 R12 ,3,"10k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
R6 ,1,"530R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
R7 R8 ,2,"100R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
Serial1 ,1,"Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
U1 U2 ,2,"AS6C4008-55PCN","Package_DIP:DIP-32_W15.24mm","https://www.alliancememory.com/wp-content/uploads/pdf/AS6C4008.pdf"
U7 U8 ,2,"Conn_02x32_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x32_P2.54mm_Vertical","~"
VREF1 ,1,"AD1580","GithubDownloaded2:SOT95P237X112-3N","http://componentsearchengine.com/Datasheets/1/AD1580BRTZ-REEL7.pdf","AD1580BRTZ-REEL7","https://www.arrow.com/en/products/ad1580brtz-reel7/analog-devices","1.2 V Micropower, Precision 1.2 V Micropower, Precision","Analog Devices","AD1580BRTZ-REEL7","584-AD1580BRTZ-R7","https://www.mouser.co.uk/ProductDetail/Analog-Devices/AD1580BRTZ-REEL7?qs=NmRFExCfTkFZVi9%2F1ZfkXg%3D%3D",""
VideoOut1 ,1,"DB15_Female_HighDensity","Connector_Dsub:DSUB-15-HD_Female_Horizontal_P2.29x1.98mm_EdgePinOffset8.35mm_Housed_MountingHolesOffset10.89mm"," ~"
